"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","CCA_LANDED_WEIGHT_MTONS","CCA_LANDED_WEIGHT_PPP","CCA_EXVESSEL_REVENUE","CCA_CONFIDENTIAL_FLAG","ERA_LANDED_WEIGHT_MTONS","ERA_LANDED_WEIGHT_PPP","ERA_EXVESSEL_REVENUE","ERA_CONFIDENTIAL_FLAG","BGA_LANDED_WEIGHT_MTONS","BGA_LANDED_WEIGHT_PPP","BGA_EXVESSEL_REVENUE","BGA_CONFIDENTIAL_FLAG","BDA_LANDED_WEIGHT_MTONS","BDA_LANDED_WEIGHT_PPP","BDA_EXVESSEL_REVENUE","BDA_CONFIDENTIAL_FLAG","SFA_LANDED_WEIGHT_MTONS","SFA_LANDED_WEIGHT_PPP","SFA_EXVESSEL_REVENUE","SFA_CONFIDENTIAL_FLAG","MNA_LANDED_WEIGHT_MTONS","MNA_LANDED_WEIGHT_PPP","MNA_EXVESSEL_REVENUE","MNA_CONFIDENTIAL_FLAG","MRA_LANDED_WEIGHT_MTONS","MRA_LANDED_WEIGHT_PPP","MRA_EXVESSEL_REVENUE","MRA_CONFIDENTIAL_FLAG","SBA_LANDED_WEIGHT_MTONS","SBA_LANDED_WEIGHT_PPP","SBA_EXVESSEL_REVENUE","SBA_CONFIDENTIAL_FLAG","LAA_LANDED_WEIGHT_MTONS","LAA_LANDED_WEIGHT_PPP","LAA_EXVESSEL_REVENUE","LAA_CONFIDENTIAL_FLAG","SDA_LANDED_WEIGHT_MTONS","SDA_LANDED_WEIGHT_PPP","SDA_EXVESSEL_REVENUE","SDA_CONFIDENTIAL_FLAG","CA2_LANDED_WEIGHT_MTONS","CA2_LANDED_WEIGHT_PPP","CA2_EXVESSEL_REVENUE","CA2_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"2010","C","CPEL","....","PACIFIC HERRING","PHRG",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2010","C","CPEL","WETF","CHUB MACKEREL","CMCK",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",9.4,.07,1468,"",2045.2,.09,408765,"",,,,"*",,,,"",2054.6,,410233,"*"
"2010","C","CPEL","WETF","JACK MACKEREL","JMCK",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",14.2,.03,843,"",295.4,.09,61692,"",,,,"*",,,,"",309.6,,62535,"*"
"2010","C","CPEL","WETF","MARKET SQUID","MSQD",,,,"",,,,"",,,,"*",,,,"",,,,"*",19465.9,.25,10684085,"",.1,.3,77,"",57154,.24,30705409,"",53552.9,.25,29399098,"",,,,"*",,,,"",130172.9,,70788669,"*"
"2010","C","CPEL","WETF","NORTHERN ANCHOVY","NANC",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"*",,,,"",97.3,.3,64493,"",96.7,.06,12524,"",,,,"*",,,,"",194,,77017,"*"
"2010","C","CPEL","WETF","PACIFIC BONITO","PBNT",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",.4,.76,723,"",,,,"*",,,,"",,,,"",.4,,723,"*"
"2010","C","CPEL","WETF","PACIFIC SARDINE","PSDN",,,,"*",,,,"",,,,"",,,,"",,,,"*",4305.4,.06,572543,"",,,,"*",1524,.03,116744,"",27819.8,.06,3606269,"",,,,"*",,,,"",33649.2,,4295556,"*"
"2010","C","CPEL","WETF","UNSP. MACKEREL","UMCK",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"2010","C","CRAB","....","DUNGENESS CRAB","DCRB",1745.4,2.01,7720683,"",1240.1,2.11,5764484,"",124.7,1.9,522939,"",2069.6,1.72,7848393,"",4626.6,1.81,18448056,"",175.1,2.29,885475,"",1.3,2.32,6398,"",,,,"*",,,,"",,,,"",,,,"",9982.8,,41196428,"*"
"2010","C","CRAB","....","OTHER CRAB","OCRB",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"*",,,,"*",15.9,1.39,48798,"",11.8,.97,25252,"",7.5,.66,10894,"",,,,"",35.2,,84944,"*"
