"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","CLO_LANDED_WEIGHT_MTONS","CLO_LANDED_WEIGHT_PPP","CLO_EXVESSEL_REVENUE","CLO_CONFIDENTIAL_FLAG","TLA_LANDED_WEIGHT_MTONS","TLA_LANDED_WEIGHT_PPP","TLA_EXVESSEL_REVENUE","TLA_CONFIDENTIAL_FLAG","NPA_LANDED_WEIGHT_MTONS","NPA_LANDED_WEIGHT_PPP","NPA_EXVESSEL_REVENUE","NPA_CONFIDENTIAL_FLAG","CBA_LANDED_WEIGHT_MTONS","CBA_LANDED_WEIGHT_PPP","CBA_EXVESSEL_REVENUE","CBA_CONFIDENTIAL_FLAG","BRA_LANDED_WEIGHT_MTONS","BRA_LANDED_WEIGHT_PPP","BRA_EXVESSEL_REVENUE","BRA_CONFIDENTIAL_FLAG","OR1_LANDED_WEIGHT_MTONS","OR1_LANDED_WEIGHT_PPP","OR1_EXVESSEL_REVENUE","OR1_CONFIDENTIAL_FLAG","OR4_LANDED_WEIGHT_MTONS","OR4_LANDED_WEIGHT_PPP","OR4_EXVESSEL_REVENUE","OR4_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"2010","O","CPEL","....","PACIFIC HERRING","PHRG",35.3,.04,3430,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",35.3,,3430,"*"
"2010","O","CPEL","WETF","CHUB MACKEREL","CMCK",49,.03,2872,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",49,,2872,"*"
"2010","O","CPEL","WETF","JACK MACKEREL","JMCK",.3,0,0,"",,,,"",2.6,0,0,"",,,,"",,,,"",,,,"",,,,"",2.9,,0,""
"2010","O","CPEL","WETF","MARKET SQUID","MSQD",.1,0,0,"",,,,"",,,,"*",,,,"*",,,,"",,,,"",,,,"",.1,,0,"*"
"2010","O","CPEL","WETF","NORTHERN ANCHOVY","NANC",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2010","O","CPEL","WETF","PACIFIC SARDINE","PSDN",20828.4,.11,5244695,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",20828.4,,5244695,""
"2010","O","CRAB","....","DUNGENESS CRAB","DCRB",1513.4,2.04,6818016,"",407.7,2.18,1956667,"",2603.1,2.06,11849741,"",1958.1,2.09,9013918,"",715.7,1.97,3109526,"",,,,"",,,,"",7198,,32747868,""
"2010","O","CRAB","....","OTHER CRAB","OCRB",,,,"",,,,"",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"2010","O","CRAB","....","ROCK CRAB","RCRB",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2010","O","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",1858.1,.1,389940,"",,,,"",187.4,.1,39510,"",243.6,.09,48824,"",5.7,.1,1253,"",,,,"",,,,"",2294.8,,479527,""
