"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","NPS_LANDED_WEIGHT_MTONS","NPS_LANDED_WEIGHT_PPP","NPS_EXVESSEL_REVENUE","NPS_CONFIDENTIAL_FLAG","SPS_LANDED_WEIGHT_MTONS","SPS_LANDED_WEIGHT_PPP","SPS_EXVESSEL_REVENUE","SPS_CONFIDENTIAL_FLAG","CWA_LANDED_WEIGHT_MTONS","CWA_LANDED_WEIGHT_PPP","CWA_EXVESSEL_REVENUE","CWA_CONFIDENTIAL_FLAG","CLW_LANDED_WEIGHT_MTONS","CLW_LANDED_WEIGHT_PPP","CLW_EXVESSEL_REVENUE","CLW_CONFIDENTIAL_FLAG","WA5_LANDED_WEIGHT_MTONS","WA5_LANDED_WEIGHT_PPP","WA5_EXVESSEL_REVENUE","WA5_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"2010","W","CPEL","....","PACIFIC HERRING","PHRG",,,,"*",202.3,.46,206945,"",,,,"*",,,,"*",,,,"",202.3,,206945,"*"
"2010","W","CPEL","WETF","CHUB MACKEREL","CMCK",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","CPEL","WETF","JACK MACKEREL","JMCK",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","CPEL","WETF","NORTHERN ANCHOVY","NANC",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","CPEL","WETF","PACIFIC SARDINE","PSDN",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","CPEL","WETF","UNSP. MACKEREL","UMCK",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","CRAB","....","DUNGENESS CRAB","DCRB",3304.3,2.99,21782458,"",621.2,2.52,3450102,"",5300.7,2.37,27690137,"",1250.5,2.06,5674334,"",,,,"*",10476.7,,58597031,"*"
"2010","W","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",475.8,.1,100378,"",,,,"",,,,"*",,,,"*",,,,"",475.8,,100378,"*"
"2010","W","GRND","FLAT","DOVER SOLE","DOVR",561.5,.33,407831,"",,,,"",300.6,.24,156966,"",.1,.11,34,"",,,,"",862.2,,564831,""
"2010","W","GRND","FLAT","ENGLISH SOLE","EGLS",69.1,.34,51954,"",,,,"",,,,"*",,,,"*",,,,"",69.1,,51954,"*"
"2010","W","GRND","FLAT","PETRALE SOLE","PTRL",64.7,1.16,166217,"",,,,"",19.3,.85,36113,"",,,,"*",,,,"",84,,202330,"*"
"2010","W","GRND","FLAT","REX SOLE","REX",25.1,.35,19186,"",,,,"",,,,"*",,,,"*",,,,"",25.1,,19186,"*"
"2010","W","GRND","FLAT","ROCK SOLE","RSOL",,,,"*",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"2010","W","GRND","FLAT","SAND SOLE","SSOL",.1,1.28,143,"",,,,"",,,,"",,,,"",,,,"",.1,,143,""
"2010","W","GRND","FLAT","STARRY FLOUNDER","STRY",6.7,.48,7149,"",,,,"",,,,"*",,,,"*",,,,"",6.7,,7149,"*"
"2010","W","GRND","FLAT","UNSP. SANDDABS","UDAB",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","GRND","FLAT","UNSP. FLATFISH","UFLT",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","GRND","MGRN","SPINY DOGFISH","DSRK",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","GRND","MGRN","LONGNOSE SKATE","LSKT",52.3,.23,26035,"",,,,"",,,,"*",,,,"*",,,,"",52.3,,26035,"*"
"2010","W","GRND","MGRN","SPOTTED RATFISH","RATF",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","GRND","MGRN","SOUPFIN SHARK","SSRK",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","GRND","MGRN","UNSP. SKATE","USKT",20.8,.3,13920,"",,,,"",11.4,.16,4042,"",,,,"*",,,,"",32.2,,17962,"*"
"2010","W","GRND","ROCK","AURORA ROCKFISH","ARRA",.2,.45,173,"",,,,"",.1,.4,75,"",0,.4,22,"",,,,"",.3,,270,""
"2010","W","GRND","ROCK","BOCACCIO","BCAC",0,.42,45,"",,,,"",,,,"*",,,,"",,,,"",0,,45,"*"
"2010","W","GRND","ROCK","BLACKGILL ROCKFISH","BLGL",.6,.39,529,"",,,,"",.6,.41,529,"",.7,.35,507,"",,,,"",1.9,,1565,""
"2010","W","GRND","ROCK","NOM. BLACK ROCKFISH","BLK1",,,,"*",,,,"*",,,,"*",,,,"",,,,"",0,,0,"*"
"2010","W","GRND","ROCK","BLACKSPOTTED ROCKFISH","BSPR",.6,.42,535,"",,,,"",.3,.45,321,"",.5,.45,489,"",,,,"",1.4,,1345,""
"2010","W","GRND","ROCK","NOM. CANARY ROCKFISH","CNR1",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2010","W","GRND","ROCK","CANARY ROCKFISH","CNRY",,,,"*",,,,"",7.4,.3,4912,"",,,,"*",,,,"",7.4,,4912,"*"
"2010","W","GRND","ROCK","DARKBLOTCHED ROCKFISH","DBRK",4.5,.48,4763,"",,,,"",2.1,.23,1068,"",,,,"*",,,,"",6.6,,5831,"*"
"2010","W","GRND","ROCK","GREENSTRIPED ROCKFISH","GSRK",.1,.48,60,"",,,,"",,,,"*",,,,"",,,,"",.1,,60,"*"
"2010","W","GRND","ROCK","NOM. LONGSPINE THORNYHEAD","LSP1",,,,"",,,,"",,,,"",,,,"*",,,,"",0,,0,"*"
"2010","W","GRND","ROCK","LONGSPINE THORNYHEAD","LSPN",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","GRND","ROCK","NOR. UNSP. SHELF ROCKFISH","NUSF",.2,.5,224,"",,,,"*",1.6,.26,940,"",.1,.25,57,"",,,,"",1.9,,1221,"*"
"2010","W","GRND","ROCK","NOR. UNSP. SLOPE ROCKFISH","NUSP",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","GRND","ROCK","NOR. UNSP. NEAR-SHORE ROCKFISH","NUSR",,,,"*",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"2010","W","GRND","ROCK","PACIFIC OCEAN PERCH","POP",12.3,.48,12879,"",,,,"",,,,"*",,,,"*",,,,"",12.3,,12879,"*"
"2010","W","GRND","ROCK","REDBANDED ROCKFISH","RDBD",7.8,.46,8011,"",,,,"",2.4,.42,2239,"",1.5,.39,1319,"",,,,"",11.7,,11569,""
"2010","W","GRND","ROCK","REDSTRIPE ROCKFISH","REDS",,,,"*",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"2010","W","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",34.1,.47,35541,"",,,,"",19.4,.4,16933,"",10.2,.4,9018,"",,,,"",63.7,,61492,""
"2010","W","GRND","ROCK","ROSETHORN ROCKFISH","RSTN",0,.48,36,"",,,,"",0,.38,10,"",,,,"*",,,,"",0,,46,"*"
"2010","W","GRND","ROCK","SHARPCHIN ROCKFISH","SHRP",,,,"",,,,"",.1,.43,52,"",.1,.49,78,"",,,,"",.2,,130,""
"2010","W","GRND","ROCK","SILVERGRAY ROCKFISH","SLGR",0,.48,29,"",,,,"",,,,"*",,,,"",,,,"",0,,29,"*"
"2010","W","GRND","ROCK","SPLITNOSE ROCKFISH","SNOS",.1,.4,88,"",,,,"",.1,.38,87,"",,,,"*",,,,"",.2,,175,"*"
"2010","W","GRND","ROCK","SHORTRAKER ROCKFISH","SRKR",2.3,.48,2368,"",,,,"",4.7,.35,3625,"",2,.39,1756,"",,,,"",9,,7749,""
"2010","W","GRND","ROCK","NOM. SHORTSPINE THORNYHEAD","SSP1",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","GRND","ROCK","SHORTSPINE THORNYHEAD","SSPN",51.7,.53,60587,"",,,,"",29.8,.6,39575,"",2.8,.6,3725,"",,,,"",84.3,,103887,""
"2010","W","GRND","ROCK","UNSP. ROCKFISH","URCK",,,,"",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"2010","W","GRND","ROCK","WIDOW ROCKFISH","WDOW",46.3,.55,56159,"",,,,"",,,,"*",,,,"*",,,,"",46.3,,56159,"*"
"2010","W","GRND","ROCK","NOM. WIDOW ROCKFISH","WDW1",,,,"",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"2010","W","GRND","ROCK","NOM. YELLOWEYE ROCKFISH","YEY1",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2010","W","GRND","ROCK","YELLOWEYE ROCKFISH","YEYE",.2,.31,107,"",,,,"",,,,"*",,,,"",,,,"",.2,,107,"*"
"2010","W","GRND","ROCK","YELLOWMOUTH ROCKFISH","YMTH",.1,.42,63,"",,,,"",,,,"",,,,"",,,,"",.1,,63,""
