"CRAB_YEAR","AGENCY_CODE","NOV_ROUND_WEIGHT_MTONS","NOV_ROUND_WEIGHT_PPP","NOV_EXVESSEL_REVENUE","NOV_CONFIDENTIAL_FLAG","DEC_ROUND_WEIGHT_MTONS","DEC_ROUND_WEIGHT_PPP","DEC_EXVESSEL_REVENUE","DEC_CONFIDENTIAL_FLAG","JAN_ROUND_WEIGHT_MTONS","JAN_ROUND_WEIGHT_PPP","JAN_EXVESSEL_REVENUE","JAN_CONFIDENTIAL_FLAG","FEB_ROUND_WEIGHT_MTONS","FEB_ROUND_WEIGHT_PPP","FEB_EXVESSEL_REVENUE","FEB_CONFIDENTIAL_FLAG","MAR_ROUND_WEIGHT_MTONS","MAR_ROUND_WEIGHT_PPP","MAR_EXVESSEL_REVENUE","MAR_CONFIDENTIAL_FLAG","APR_ROUND_WEIGHT_MTONS","APR_ROUND_WEIGHT_PPP","APR_EXVESSEL_REVENUE","APR_CONFIDENTIAL_FLAG","MAY_ROUND_WEIGHT_MTONS","MAY_ROUND_WEIGHT_PPP","MAY_EXVESSEL_REVENUE","MAY_CONFIDENTIAL_FLAG","JUN_ROUND_WEIGHT_MTONS","JUN_ROUND_WEIGHT_PPP","JUN_EXVESSEL_REVENUE","JUN_CONFIDENTIAL_FLAG","JUL_ROUND_WEIGHT_MTONS","JUL_ROUND_WEIGHT_PPP","JUL_EXVESSEL_REVENUE","JUL_CONFIDENTIAL_FLAG","AUG_ROUND_WEIGHT_MTONS","AUG_ROUND_WEIGHT_PPP","AUG_EXVESSEL_REVENUE","AUG_CONFIDENTIAL_FLAG","SEP_ROUND_WEIGHT_MTONS","SEP_ROUND_WEIGHT_PPP","SEP_EXVESSEL_REVENUE","SEP_CONFIDENTIAL_FLAG","OCT_ROUND_WEIGHT_MTONS","OCT_ROUND_WEIGHT_PPP","OCT_EXVESSEL_REVENUE","OCT_CONFIDENTIAL_FLAG","TOTAL_ROUND_WEIGHT_MTONS","TOTAL_ROUND_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"2000","A",84.9,1.76,330275.65,"",18.1,1.87,74606.32,"",4.8,1.59,16859.12,"",1.8,1.49,5924.5,"",,,,"",,,,"",,,,"*",442.3,1.57,1535135.73,"",434.3,1.58,1510537.48,"",169.6,1.62,607752.69,"",29.2,1.66,106668.55,"",142.7,1.6,502907.22,"",1327.7,,4690667.26,"*"
"2000","C",173.3,2.83,1081629.57,"",2804.3,1.79,11051480.65,"",514.4,2.27,2575199.14,"",208.9,2.64,1217316.42,"",88.4,2.87,558858.5,"",107.5,3.06,724884.32,"",53.6,3.23,381610.63,"",25.4,3.06,170946.1,"",5.2,2.7,31185.09,"",,,,"*",,,,"",,,,"*",3981,,17793110.42,"*"
"2000","O",10.3,1.81,41176.35,"",4000.1,1.76,15513572.7,"",1598.9,2.2,7755742.25,"",601.4,2.36,3129957.64,"",304.7,2.51,1685808.76,"",219.6,2.79,1352757.43,"",163.5,3.01,1083907.33,"",100.6,2.68,595114.98,"",89,2.32,455970.4,"",36,1.97,156556.95,"",1.7,3.21,11784,"",3,2.49,16268.2,"",7128.8,,31798616.99,""
"2000","W",161.6,2.49,886978.43,"",3843.4,1.77,14969006.7,"",1709,2.22,8346877.6,"",768.9,2.4,4069330.6,"",416.4,2.56,2352124.34,"",214.3,2.9,1371447.25,"",230.1,3.17,1609522.35,"",125.6,2.58,713878.45,"",102.7,1.78,403609.65,"",107.7,1.67,395934.8,"",341.8,1.76,1322939.6,"",597.7,1.71,2258360.55,"",8619.2,,38700010.32,""
"2000","**",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",,,,"*",,,,"",,,,"*",0,,0,"*"
"2001","A",66.1,1.59,231100.11,"",6.5,1.6,22935.12,"",3.5,1.78,13680.77,"",2.2,1.79,8656.33,"",,,,"*",,,,"",,,,"*",663.9,1.74,2540492.78,"",593.1,1.74,2277428.93,"",227.5,1.75,877550.59,"",12.1,1.9,50621.32,"",302.9,1.69,1127360.66,"",1877.8,,7149826.61,"*"
"2001","C",310.8,2.58,1765854.31,"",1630.8,1.75,6305351.12,"",233.2,2.74,1407886.58,"",135.4,3.34,997522.84,"",85.2,3.56,668924.66,"",60.8,4.01,537100.27,"",74.5,4.13,677983.12,"",47.4,2.87,300097.24,"",6.9,2.91,44549.82,"",,,,"",,,,"",,,,"*",2585,,12705269.96,"*"
"2001","O",2.2,2.7,13059.65,"",1951,1.73,7439200.75,"",727.9,2.37,3808835.65,"",239.5,2.99,1577856.7,"",98.9,3.22,702760.8,"",74.4,3.62,593346.25,"",63.6,3.77,528467.95,"",63.5,2.7,378607.29,"",74.6,2.13,350933.28,"",58.6,1.99,256468.31,"",3.3,2.51,18021.4,"",2.8,2.55,15461.05,"",3360.3,,15683019.08,""
"2001","W",154,2.22,752297.1,"",1098.9,1.79,4338757.4,"",1261,2.27,6302328.5,"",371.9,3.04,2495099.25,"",160.6,3.26,1153094.26,"",119.2,3.56,936391.9,"",80.3,3.79,669962.4,"",163.5,2.36,851187.28,"",162.8,1.57,563283.6,"",280.5,1.41,869801.15,"",191.4,1.42,597959.4,"",775.3,1.54,2624112.74,"",4819.4,,22154274.98,""
"2001","**",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"*",0,,0,"*"
